genus,temp,relative_abundance
root,10.9,0.29854368932038833
Escherichia,10.9,0.28228155339805827
Altererythrobacter,10.9,0.0004854368932038835
Escherichia,9.8,0.7268041237113402
Salmonella,9.8,0.010309278350515464
Homo,8.8,0.17034700315457413
root,9.3,0.3648148148148148
Acidibrevibacterium,10.9,0.02912621359223301
Escherichia,10.5,0.615686274509804
Acidibrevibacterium,9.0,0.025810448069378485
root,9.0,0.28567003923188106
Xylophilus,9.0,0.00010324179227751394
Bradyrhizobium,9.0,0.005988023952095809
Escherichia,9.0,0.28783811686970884
Stella,9.0,0.00041296716911005574
Proteobacteria,9.0,0.012956844930827998
Nitrobacter,9.0,0.00025810448069378485
Homo,9.0,0.008310964278339873
Bacteria,9.0,0.007949618005368574
Azospirillum,9.0,0.003148874664464175
Pseudopropionibacterium,9.0,0.00010324179227751394
Acidiphilium,9.0,0.026378277926904812
Pseudomonas,9.0,0.009136898616559983
Rhizobium,9.0,0.0023745612223828204
Rhodopseudomonas,9.0,0.001600247780301466
Methylobacterium,9.0,0.0021680776378277928
Betaproteobacteria,9.0,0.0009807970266363824
Salmonella,9.0,0.02023539128639273
Janthinobacterium,9.0,0.0006194507536650836
Komagataeibacter,9.0,0.0042329134833780716
Leptospirillum,9.0,0.025449101796407185
Hydrogenophaga,9.0,0.0009291761304976255
Desulfohalobium,9.0,0.00010324179227751394
Escherichia,10.9,0.2493781094527363
root,10.9,0.2629042288557214
Comamonas,10.9,0.0006996268656716418
Leptospirillum,10.9,0.012826492537313433
Proteobacteria,10.9,0.017801616915422886
Acidiphilium,10.9,0.04703047263681592
Pseudomonas,10.9,0.010883084577114429
Castellaniella,10.9,0.0002332089552238806
Acidibrevibacterium,10.9,0.02697450248756219
Homo,10.9,0.009561567164179104
Alphaproteobacteria,10.9,0.009717039800995024
Mycobacterium,10.9,0.02658582089552239
Croceicoccus,10.9,0.0003109452736318408
cellular,10.9,0.0008550995024875622
Legionella,10.9,0.0018656716417910447
Gluconacetobacter,10.9,0.002254353233830846
Ramlibacter,10.9,0.0005441542288557214
Acidithiobacillus,10.9,0.021455223880597014
Phyllobacterium,10.9,7.77363184079602e-05
Shigella,10.9,0.0037313432835820895
Enterobacterales,10.9,0.02681902985074627
Delftia,10.9,0.0006218905472636816
Sphingomonadales,10.9,0.0006996268656716418
Variovorax,10.9,0.0021766169154228856
Azospirillum,10.9,0.0032649253731343282
Methanosarcina,10.9,0.0001554726368159204
Mycolicibacterium,10.9,0.010416666666666666
Stenotrophomonas,10.9,0.0013215174129353234
Acetobacter,10.9,0.0042754975124378106
Nitrosospira,10.9,0.0002332089552238806
Erwinia,10.9,0.0001554726368159204
Actinobacteria,10.9,0.002643034825870647
Burkholderiaceae,10.9,0.0011660447761194029
Salmonella,10.9,0.010805348258706467
Blautia,10.9,7.77363184079602e-05
Komagataeibacter,10.9,0.0046641791044776115
Desulfotomaculum,10.9,7.77363184079602e-05
Roseomonas,10.9,0.0037313432835820895
Bacteria,10.9,0.009328358208955223
Methylocystis,10.9,0.000777363184079602
Celeribacter,10.9,0.000388681592039801
Sphingobium,10.9,0.002798507462686567
Bradyrhizobium,10.9,0.006218905472636816
Sphingomonas,10.9,0.005519278606965174
Methylobacterium,10.9,0.001943407960199005
Streptomyces,10.9,0.00388681592039801
Cutibacterium,10.9,7.77363184079602e-05
Phreatobacter,10.9,0.000388681592039801
Sutterella,10.9,0.000388681592039801
Bacillus,10.9,0.0005441542288557214
Halorubrum,10.9,7.77363184079602e-05
Escherichia,9.3,0.44814814814814813
Mycobacteriaceae,10.9,0.002254353233830846
Homo,9.3,0.08518518518518518
Achromobacter,9.0,0.0014453850918851952
Actinobacteria,9.0,0.0010840388189138964
Aureimonas,9.0,0.0003613462729712988
Agrobacterium,9.0,0.0009291761304976255
Enterobacteriaceae,9.0,0.005781540367540781
Rhodobacter,9.0,0.0008775552343588685
Sphingopyxis,9.0,0.0012389015073301672
Schlegelella,9.0,0.0003613462729712988
Citromicrobium,9.0,0.00010324179227751394
Mesorhizobium,9.0,0.004852364237043155
Alphaproteobacteria,9.0,0.008930415032004955
Enterobacterales,9.0,0.024932892835019618
Anabaena,9.0,0.00010324179227751394
Marinobacter,9.0,0.00046458806524881275
Paraburkholderia,9.0,0.0012389015073301672
Mycobacteriaceae,9.0,0.0009807970266363824
Mycolicibacterium,9.0,0.005368573198430725
Acinetobacter,9.0,0.004697501548626884
Desulfurispirillum,9.0,0.0001548626884162709
Epibacterium,10.9,7.77363184079602e-05
Bosea,10.9,0.0010883084577114428
Rubrobacter,10.9,7.77363184079602e-05
root,10.5,0.18823529411764706
Homo,10.5,0.15294117647058825
Paracoccus,9.0,0.001651868676440223
Thiomonas,10.9,0.003653606965174129
Streptomyces,9.0,0.003252116456741689
Tistrella,9.0,0.00025810448069378485
Shigella,9.0,0.003613462729712988
Terrabacteria,9.0,0.00025810448069378485
Halomonas,9.0,0.0005678298575263267
Tsukamurella,9.0,0.00020648358455502787
Marinovum,9.0,5.162089613875697e-05
Acidithiobacillus,9.0,0.017964071856287425
Hyphomonas,9.0,0.0001548626884162709
Methylococcus,10.9,0.000388681592039801
Rhizobiales,10.9,0.0028762437810945273
Roseovarius,10.9,0.0004664179104477612
Thauera,10.9,0.0006996268656716418
Acetobacteraceae,10.9,0.0028762437810945273
Burkholderia,10.9,0.004197761194029851
Mycolicibacillus,10.9,0.0003109452736318408
Moraxella,10.9,0.0001554726368159204
Acidiphilium,10.9,0.0866504854368932
Stenotrophomonas,10.9,0.0014563106796116505
Enterobacterales,10.9,0.020145631067961165
Salmonella,10.9,0.01529126213592233
Escherichia,8.8,0.6466876971608833
Sinorhizobium,9.0,0.0009291761304976255
Escherichia,10.7,0.7339449541284404
root,10.7,0.16972477064220184
Homo,10.7,0.0779816513761468
Thermosynechococcus,9.0,0.0001548626884162709
Mycobacterium,9.0,0.012337394177162916
Sphingomonas,9.0,0.004284534379516828
root,9.8,0.13402061855670103
Thermosediminibacter,10.9,7.77363184079602e-05
Serinicoccus,10.9,7.77363184079602e-05
Cupriavidus,10.9,0.0024875621890547263
Nocardia,10.9,0.0013992537313432835
Achromobacter,10.9,0.0010883084577114428
Rhodoferax,10.9,0.0010105721393034825
Enterobacter,10.9,0.0006218905472636816
Sulfuricella,10.9,0.0002332089552238806
Sinorhizobium,10.9,0.0010883084577114428
Bacteroides,10.9,7.77363184079602e-05
unclassified,10.9,0.005052860696517413
Lysobacter,10.9,0.0008550995024875622
Ketobacter,10.9,0.0002332089552238806
Enterobacteriaceae,10.9,0.006607587064676617
Hypericibacter,10.9,0.0008550995024875622
Shewanella,10.9,0.0006996268656716418
Xanthomonas,10.9,0.0020988805970149254
Boseongicola,9.0,5.162089613875697e-05
Candidatus,10.9,0.0004854368932038835
Microbacterium,9.0,0.0005678298575263267
Kerstersia,9.0,0.00010324179227751394
Solimonas,9.0,0.0012905224034689242
Sulfuriferula,9.0,0.00046458806524881275
Croceicoccus,9.0,0.0005678298575263267
Starkeya,9.0,0.00041296716911005574
Burkholderiales,9.0,0.0025294239107990914
Rhizobiales,9.0,0.0027359074953541194
Steroidobacter,9.0,0.00041296716911005574
Aeromonas,9.0,0.0010840388189138964
Brachybacterium,9.0,0.00010324179227751394
Novosphingobium,9.0,0.0012389015073301672
Ectothiorhodospira,9.0,0.00010324179227751394
Indioceanicola,9.0,0.00046458806524881275
Geobacter,9.0,0.0005678298575263267
Mesorhizobium,10.9,0.00396455223880597
Rhodobacteraceae,10.9,0.0008550995024875622
Lentzea,9.0,0.0001548626884162709
Sphingomonas,10.9,0.002184466019417476
Chromatiales,10.9,7.77363184079602e-05
Comamonadaceae,9.0,0.0007743134420813545
Pectobacterium,10.9,7.77363184079602e-05
Oscillospiraceae,10.9,0.0001554726368159204
Rhodobacter,10.9,0.0011660447761194029
Brucella,10.9,0.0005441542288557214
Bifidobacterium,10.9,0.0005441542288557214
Legionella,9.0,0.0039231881065455295
Mycolicibacter,9.0,0.0013421432996076812
Corynebacteriales,9.0,0.0006194507536650836
