genus,temp,relative_abundance,Family,Order,Class,Phylum
Hungateiclostridium,10.9,0.000242718,Acetivibrionaceae,Acetivibrionales,Clostridia,Firmicutes_A
Acetobacter,10.9,0.004275498,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Acetobacter,9,0.002581045,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Acetobacter,10.9,0.001213592,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Acetobacteraceae,10.9,0.002876244,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Acetobacteraceae,9,0.002839149,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Acetobacteraceae,10.9,0.000242718,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Acidibrevibacterium,10.9,0.029126214,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Acidibrevibacterium,9,0.025810448,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Acidibrevibacterium,10.9,0.026974502,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Acidiphilium,9,0.026378278,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Acidiphilium,10.9,0.047030473,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Acidiphilium,10.9,0.086650485,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Asaia,10.9,0.000155473,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Bombella,10.9,0.000155473,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Bombella,9,0.000103242,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Bombella,10.9,0.000242718,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Gluconacetobacter,10.9,0.002254353,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Gluconacetobacter,9,0.001238902,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Gluconacetobacter,10.9,0.000485437,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Gluconobacter,9,0.001548627,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Gluconobacter,10.9,0.000777363,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Gluconobacter,10.9,0.000242718,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Granulibacter,10.9,0.003031716,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Granulibacter,9,0.002013215,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Granulibacter,10.9,0.001941748,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Komagataeibacter,9,0.004232913,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Komagataeibacter,10.9,0.004664179,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Komagataeibacter,10.9,0.001213592,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Kozakia,10.9,0.000310945,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Kozakia,9,0.000361346,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Neoasaia,9,0.000516209,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Neoasaia,10.9,0.000544154,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Neokomagataea,10.9,7.77363184079602e-05,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Oecophyllibacter,10.9,0.000621891,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Oecophyllibacter,10.9,0.001213592,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Oecophyllibacter,9,0.000361346,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Roseococcus,9,0.000722693,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Roseococcus,10.9,0.000777363,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Roseococcus,10.9,0.000242718,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Roseomonas,10.9,0.003731343,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Roseomonas,9,0.002013215,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Roseomonas,10.9,0.002427184,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Swingsia,10.9,0.000155473,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Proteobacteria
Acidaminococcus,10.9,7.77363184079602e-05,Acidaminococcaceae,Acidaminococcales,Negativicutes,Firmicutes_C
Phascolarctobacterium,10.9,7.77363184079602e-05,Acidaminococcaceae,Acidaminococcales,Negativicutes,Firmicutes_C
Acidiferrobacter,10.9,0.000310945,Acidiferrobacteraceae,Acidiferrobacterales,Gammaproteobacteria,Proteobacteria
Acidiferrobacter,9,0.000103242,Acidiferrobacteraceae,Acidiferrobacterales,Gammaproteobacteria,Proteobacteria
Acidihalobacter,10.9,0.000310945,Acidihalobacteraceae,Ectothiorhodospirales,Gammaproteobacteria,Proteobacteria
Acidihalobacter,9,0.000154863,Acidihalobacteraceae,Ectothiorhodospirales,Gammaproteobacteria,Proteobacteria
Acidihalobacter,10.9,0.000242718,Acidihalobacteraceae,Ectothiorhodospirales,Gammaproteobacteria,Proteobacteria
Acidimicrobium,10.9,0.000242718,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinobacteriota
Acidithiobacillus,10.9,0.021455224,Acidithiobacillaceae,Acidithiobacillales,Gammaproteobacteria,Proteobacteria
Acidithiobacillus,9,0.017964072,Acidithiobacillaceae,Acidithiobacillales,Gammaproteobacteria,Proteobacteria
Acidithiobacillus,10.9,0.002669903,Acidithiobacillaceae,Acidithiobacillales,Gammaproteobacteria,Proteobacteria
Acidithiobacillus,8.8,0.003154574,Acidithiobacillaceae,Acidithiobacillales,Gammaproteobacteria,Proteobacteria
Acidithiobacillus,10.5,0.003921569,Acidithiobacillaceae,Acidithiobacillales,Gammaproteobacteria,Proteobacteria
Acidisarcina,9,0.000258104,Acidobacteriaceae,Acidobacteriales,Acidobacteriae,Acidobacteriota
Acidisarcina,10.9,0.000155473,Acidobacteriaceae,Acidobacteriales,Acidobacteriae,Acidobacteriota
